Wardno,Partno,From,To,EnglishBoothAddress,MarathiBoothAddress
134,29,,,Z.P.Primary School Lakhmapur. Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . लखमापुर. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,30,,,Z.P.Primary School Nehroli. Room No. 1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . नेहरोली. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,31,,,Z.P.Primary School Nehroli. Room No. 2. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . नेहरोली. खोली क्र. 2 तालुका वाडा जिल्हा पालघर- 421312
134,32,,,Z.P.Primary School Sarshi Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा . सारशी. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421303
134,33,,,Z.P.Primary School Pimparoli Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा . पिंपरोळी. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421303
134,34,,,Z.P.Primary School Tuse Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा . तुसे. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421303
134,35,,,Z.P.Primary School Khupari Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . खुपरी. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,36,,,Z.P.Primary School Khupari Room No.2. Tal.Wada. Dist.Palghar.421312,जिल्हा परिषद प्राथमिक शाळा . खुपरी. खोली क्र. 2 तालुका वाडा जिल्हा पालघर- 421312
134,37,,,Z.P.Primary School Bhudhavali Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . बुधावली. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,38,,,Z.P.Primary School Gunj Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . गुंज. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,39,,,Z.P.Primary School Bilavali Room No.1. Tal.Wada. Dist.Palghar.421312,जिल्हा परिषद प्राथमिक शाळा . बिलावली. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,40,,,Z.P.Primary School Dongaste Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . डोंगस्ते. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,41,,,Z.P.Primary School Vijaygad Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . विजयगड. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,42,,,Z.P.Primary School Nandni Room No.1. Tal.Wada. Dist.Palghar. 401204,जिल्हा परिषद प्राथमिक शाळा . नांदनी. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 401204
134,43,,,Z.P.Primary School Ambar Bhui Room No.1. Tal.Wada. 401204Dist.Palghar. 401204,जिल्हा परिषद प्राथमिक शाळा . अंबरभुई. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 401204
