Wardno,Partno,From ,to,EnglishBoothAddress,MarathiBoothAddress
143,22,,,Don Bosco Highschool (Jai Hind Colony Near Jai Manisha Building Dombivali West 421202) - Building No.02 Hall Partition No.1,डॉन बास्को हायस्कूल(जयहिंद कॉलनी जय मनिषा बिल्डिंगजवळ डोंबिवली पश्चिम-421202) - बिल्डिंग क्र.२ हॉल पार्टिशन क्र.१
143,23,,,Don Bosco Highschool (Jai Hind Colony Near Jai Manisha Building Dombivali West 421202) - Building No.02 Hall Partition No.2,डॉन बास्को हायस्कूल(जयहिंद कॉलनी जय मनिषा बिल्डिंगजवळ डोंबिवली पश्चिम-421202) - बिल्डिंग क्र.२ हॉल पार्टिशन क्र.२
143,24,,,Gaondevi Soc(Dombivali West 421202) - Open Ground Tin Shed Partition No.1,गांवदेवी सोसाइटी(डोंबीवली पश्चिम 421202) - मोकळे मैदान पत्र्याचे शेड पार्टीशन क्र.१
143,25,,,Gaondevi Soc(Dombivali West 421202) - Open Ground Tin Shed Partition No.2,गांवदेवी सोसाइटी(डोंबीवली पश्चिम 421202) - मोकळे मैदान पत्र्याचे शेड पार्टीशन क्र.२
143,26,,,Gaondevi Soc(Dombivali West 421202) - Open Ground Tin Shed Partition No.3,गांवदेवी सोसाइटी(डोंबीवली पश्चिम 421202) - मोकळे मैदान पत्र्याचे शेड पार्टीशन क्र.३
143,27,,,Gaondevi Vidyamandir School(Kalunagar Mothagaon ThakurliDombivali West 421202) - Room No.1,गांवदेवी विद्यामंदीर शाळा(काळूनगर मोठागाव ठाकुर्लीडोंबिवली पश्चिम ४२१२०२) - खोली क्र.१
143,28,,,Gaondevi Vidyamandir School(Kalunagar Mothagaon ThakurliDombivali West 421202) - Room No.2,गांवदेवी विद्यामंदीर शाळा(काळूनगर मोठागाव ठाकुर्लीडोंबिवली पश्चिम ४२१२०२) - खोली क्र.२
143,29,,,Gaondevi Vidyamandir School(Kalunagar Mothagaon ThakurliDombivali West 421202) - Ground Floor Room No.3,गांवदेवी विद्यामंदीर शाळा(काळूनगर मोठागाव ठाकुर्लीडोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.३
143,30,,,Gaondevi Vidyamandir School(Kalunagar Mothagaon ThakurliDombivali West 421202) - Ground Floor Room No.4,गांवदेवी विद्यामंदीर शाळा(काळूनगर मोठागाव ठाकुर्लीडोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.४
143,31,,,Gaondevi Vidyamandir School(Kalunagar Mothagaon ThakurliDombivali West 421202) - Ground Floor Room No.5,गांवदेवी विद्यामंदीर शाळा(काळूनगर मोठागाव ठाकुर्लीडोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.५
143,32,,,Kdmc Reservation No.297(Dindayal RoadDombivali West 421202) - Ground Floor Parking Partition No.1,कडोंमपा आरक्षण क्रमांक २९७(दिनदयाळ रोड डोंबिवली पश्चिम ४२१ २०२) - तळमजला पार्कींग पार्टीशन क्रमांक १
143,33,,,Kdmc Reservation No.297(Dindayal RoadDombivali West 421202) - Parking Partition No.2,कडोंमपा आरक्षण क्रमांक २९७(दिनदयाळ रोड डोंबिवली पश्चिम ४२१ २०२) - पार्कींग पार्टीशन क्रमांक २
143,34,,,Kdmc Reservation No.297(Dindayal RoadDombivali West 421202) - Parking Partition No.3,कडोंमपा आरक्षण क्रमांक २९७(दिनदयाळ रोड डोंबिवली पश्चिम ४२१ २०२) - पार्कींग पार्टीशन क्रमांक ३
